,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
0,326.0,1.0,310.44,1,1,2,11,hibernating
1,3.0,7.0,4310.000000000001,5,5,5,55,champions
2,76.0,4.0,1770.7799999999997,2,4,4,24,at_Risk
3,19.0,1.0,1491.72,4,1,4,41,promising
4,311.0,1.0,331.46,1,1,2,11,hibernating
5,37.0,8.0,1756.3400000000001,3,5,4,35,loyal_customers
6,205.0,1.0,89.0,1,1,1,11,hibernating
7,233.0,1.0,1079.3999999999999,1,1,4,11,hibernating
8,215.0,1.0,459.4,1,1,2,11,hibernating
9,23.0,3.0,2811.43,4,3,5,43,potential_loyalists
10,34.0,1.0,6207.67,3,1,5,31,about_to_sleep
11,2.0,2.0,1150.42,5,2,4,52,potential_loyalists
12,58.0,4.0,5424.85,3,4,5,34,loyal_customers
13,53.0,3.0,2635.6000000000004,3,3,5,33,need_attention
14,288.0,1.0,189.89999999999998,1,1,1,11,hibernating
15,4.0,10.0,5226.23,5,5,5,55,champions
16,110.0,2.0,552.0,2,2,3,22,hibernating
17,8.0,4.0,1313.1000000000001,5,4,4,54,champions
18,292.0,2.0,357.74999999999994,1,2,2,12,hibernating
19,5.0,1.0,168.89999999999998,5,1,1,51,new_customers
20,52.0,4.0,3533.12,3,4,5,34,loyal_customers
21,45.0,2.0,1861.5,3,2,4,32,about_to_sleep
22,72.0,3.0,1298.0400000000002,3,3,4,33,need_attention
23,312.0,1.0,361.66,1,1,2,11,hibernating
24,26.0,1.0,734.1099999999999,4,1,3,41,promising
25,11.0,2.0,451.62,5,2,2,52,potential_loyalists
26,316.0,2.0,1622.2399999999998,1,2,4,12,hibernating
27,130.0,1.0,4008.62,2,1,5,21,hibernating
28,82.0,2.0,852.24,2,2,3,22,hibernating
29,22.0,4.0,2724.8100000000004,4,4,5,44,loyal_customers
30,5.0,5.0,1818.8500000000004,5,4,4,54,champions
31,185.0,5.0,1850.5600000000002,1,4,4,14,at_Risk
32,29.0,2.0,573.5100000000001,4,2,3,42,potential_loyalists
33,338.0,2.0,401.9,1,2,2,12,hibernating
34,16.0,6.0,2780.6600000000003,4,4,5,44,loyal_customers
35,80.0,1.0,549.84,2,1,3,21,hibernating
36,22.0,1.0,439.66,4,1,2,41,promising
37,73.0,4.0,1582.6000000000001,2,4,4,24,at_Risk
38,64.0,2.0,1272.48,3,2,4,32,about_to_sleep
39,20.0,12.0,3015.7400000000002,4,5,5,45,loyal_customers
40,36.0,2.0,2409.9000000000005,3,2,5,32,about_to_sleep
41,46.0,1.0,1620.9599999999998,3,1,4,31,about_to_sleep
42,120.0,4.0,1108.65,2,4,4,24,at_Risk
43,304.0,1.0,84.3,1,1,1,11,hibernating
44,324.0,1.0,225.6,1,1,1,11,hibernating
45,50.0,1.0,427.7,3,1,2,31,about_to_sleep
46,149.0,1.0,1686.8700000000003,2,1,4,21,hibernating
47,23.0,2.0,3415.3,4,2,5,42,potential_loyalists
48,50.0,5.0,1708.1199999999997,3,4,4,34,loyal_customers
49,33.0,5.0,2888.55,4,4,5,44,loyal_customers
50,79.0,3.0,11072.67,2,3,5,23,at_Risk
51,309.0,2.0,681.5699999999999,1,2,3,12,hibernating
52,75.0,3.0,1226.88,2,3,4,23,at_Risk
53,67.0,3.0,758.1,3,3,3,33,need_attention
54,218.0,3.0,553.5899999999999,1,3,3,13,at_Risk
55,25.0,21.0,42299.20695000015,4,5,5,45,loyal_customers
56,4.0,9.0,3649.1000000000004,5,5,5,55,champions
57,113.0,1.0,668.58,2,1,3,21,hibernating
58,64.0,1.0,600.3900000000001,3,1,3,31,about_to_sleep
59,16.0,4.0,807.0400000000001,4,4,3,44,loyal_customers
60,96.0,3.0,794.7399999999999,2,3,3,23,at_Risk
61,1.0,8.0,1859.31,5,5,4,55,champions
62,163.0,2.0,1760.9599999999996,2,2,4,22,hibernating
63,79.0,1.0,777.1999999999999,2,1,3,21,hibernating
64,195.0,1.0,582.73,1,1,3,11,hibernating
65,22.0,3.0,825.8,4,3,3,43,potential_loyalists
66,26.0,9.0,7405.88,4,5,5,45,loyal_customers
67,10.0,4.0,3750.4,5,4,5,54,champions
68,44.0,1.0,253.46,3,1,2,31,about_to_sleep
69,36.0,15.0,6352.825000000001,3,5,5,35,loyal_customers
70,43.0,5.0,4340.499999999999,3,4,5,34,loyal_customers
71,1.0,7.0,13375.87,5,5,5,55,champions
72,85.0,2.0,806.14,2,2,3,22,hibernating
73,80.0,2.0,7829.890000000001,2,2,5,22,hibernating
74,100.0,1.0,503.13000000000005,2,1,3,21,hibernating
75,2.0,18.0,4951.41,5,5,5,55,champions
76,15.0,2.0,2874.51,4,2,5,42,potential_loyalists
77,367.0,1.0,173.55,1,1,1,11,hibernating
78,4.0,1.0,172.06,5,1,1,51,new_customers
79,22.0,5.0,4937.84,4,4,5,44,loyal_customers
80,23.0,1.0,133.4,4,1,1,41,promising
81,58.0,1.0,1002.3100000000001,3,1,4,31,about_to_sleep
82,244.0,1.0,476.49,1,1,2,11,hibernating
83,45.0,1.0,421.51000000000005,3,1,2,31,about_to_sleep
84,23.0,4.0,4067.2900000000004,4,4,5,44,loyal_customers
85,157.0,2.0,197.88,2,2,1,22,hibernating
86,11.0,5.0,9032.58,5,4,5,54,champions
87,17.0,2.0,424.69,4,2,2,42,potential_loyalists
88,135.0,1.0,707.0899999999999,2,1,3,21,hibernating
89,57.0,1.0,3481.44,3,1,5,31,about_to_sleep
90,74.0,6.0,2466.8599999999997,2,4,5,24,at_Risk
91,45.0,3.0,3136.9399999999996,3,3,5,33,need_attention
92,67.0,7.0,2339.7099999999996,3,5,5,35,loyal_customers
93,72.0,2.0,935.64,3,2,4,32,about_to_sleep
94,95.0,2.0,812.1800000000001,2,2,3,22,hibernating
95,19.0,2.0,1189.5900000000001,4,2,4,42,potential_loyalists
96,54.0,4.0,1344.7800000000002,3,4,4,34,loyal_customers
97,11.0,8.0,1212.05,5,5,4,55,champions
98,18.0,2.0,742.19,4,2,3,42,potential_loyalists
99,188.0,2.0,729.54,1,2,3,12,hibernating
100,3.0,30.0,19382.770000000004,5,5,5,55,champions
101,33.0,7.0,6572.110000000001,4,5,5,45,loyal_customers
102,30.0,5.0,3021.97,4,4,5,44,loyal_customers
103,18.0,18.0,7324.089999999999,4,5,5,45,loyal_customers
104,54.0,1.0,723.3799999999999,3,1,3,31,about_to_sleep
105,16.0,11.0,6816.42,4,5,5,45,loyal_customers
106,23.0,6.0,13219.740000000002,4,4,5,44,loyal_customers
107,4.0,1.0,657.1700000000002,5,1,3,51,new_customers
108,12.0,1.0,527.2,5,1,3,51,new_customers
109,29.0,4.0,3281.6299999999997,4,4,5,44,loyal_customers
110,23.0,10.0,5579.82,4,5,5,45,loyal_customers
111,18.0,8.0,2446.76,4,5,5,45,loyal_customers
112,33.0,6.0,4527.32,4,4,5,44,loyal_customers
113,10.0,3.0,1298.6600000000003,5,3,4,53,potential_loyalists
114,337.0,1.0,334.92999999999995,1,1,2,11,hibernating
115,6.0,10.0,5417.93,5,5,5,55,champions
116,39.0,1.0,460.40000000000003,3,1,2,31,about_to_sleep
117,64.0,2.0,263.21,3,2,2,32,about_to_sleep
118,166.0,2.0,433.74,2,2,2,22,hibernating
119,16.0,7.0,1246.1,4,5,4,45,loyal_customers
120,82.0,1.0,1043.1,2,1,4,21,hibernating
121,22.0,3.0,403.7,4,3,2,43,potential_loyalists
122,24.0,11.0,4257.820000000001,4,5,5,45,loyal_customers
123,337.0,1.0,2169.3900000000003,1,1,5,11,hibernating
124,96.0,5.0,3723.87,2,4,5,24,at_Risk
125,19.0,2.0,482.04999999999995,4,2,3,42,potential_loyalists
126,233.0,1.0,73.50000000000001,1,1,1,11,hibernating
127,135.0,3.0,1304.81,2,3,4,23,at_Risk
128,27.0,2.0,397.88,4,2,2,42,potential_loyalists
129,285.0,1.0,176.5,1,1,1,11,hibernating
130,143.0,2.0,982.5699999999999,2,2,4,22,hibernating
131,67.0,2.0,132.18,3,2,1,32,about_to_sleep
132,113.0,1.0,612.2900000000001,2,1,3,21,hibernating
133,268.0,1.0,1017.6800000000001,1,1,4,11,hibernating
134,354.0,1.0,383.70000000000005,1,1,2,11,hibernating
135,78.0,2.0,1312.06,2,2,4,22,hibernating
136,29.0,5.0,2481.6,4,4,5,44,loyal_customers
137,1.0,5.0,2056.89,5,4,5,54,champions
138,64.0,1.0,330.84000000000003,3,1,2,31,about_to_sleep
139,80.0,5.0,2634.26,2,4,5,24,at_Risk
140,143.0,1.0,599.68,2,1,3,21,hibernating
141,40.0,2.0,192.72000000000003,3,2,1,32,about_to_sleep
142,20.0,11.0,1789.77,4,5,4,45,loyal_customers
143,10.0,8.0,4443.0,5,5,5,55,champions
144,1.0,3.0,1316.6600000000003,5,3,4,53,potential_loyalists
145,82.0,3.0,348.71000000000004,2,3,2,23,at_Risk
146,10.0,6.0,1933.4800000000002,5,5,4,55,champions
147,60.0,4.0,1662.28,3,4,4,34,loyal_customers
148,15.0,1.0,125.22,4,1,1,41,promising
149,31.0,1.0,349.83000000000004,4,1,2,41,promising
150,131.0,1.0,1089.18,2,1,4,21,hibernating
151,92.0,2.0,716.35,2,2,3,22,hibernating
152,44.0,3.0,4353.83,3,3,5,33,need_attention
153,30.0,1.0,363.95,4,1,2,41,promising
154,23.0,4.0,5568.349999999999,4,4,5,44,loyal_customers
155,20.0,17.0,13400.24,4,5,5,45,loyal_customers
156,30.0,3.0,981.1800000000002,4,3,4,43,potential_loyalists
157,37.0,1.0,372.70000000000005,3,1,2,31,about_to_sleep
158,76.0,2.0,1000.39,2,2,4,22,hibernating
159,47.0,2.0,1161.5,3,2,4,32,about_to_sleep
160,198.0,2.0,207.8,1,2,1,12,hibernating
161,167.0,1.0,95.19999999999999,2,1,1,21,hibernating
162,80.0,1.0,964.83,2,1,4,21,hibernating
163,358.0,1.0,168.0,1,1,1,11,hibernating
164,39.0,2.0,429.0,3,2,2,32,about_to_sleep
165,9.0,10.0,3692.2799999999997,5,5,5,55,champions
166,51.0,2.0,599.56,3,2,3,32,about_to_sleep
167,17.0,5.0,10882.114999999998,4,4,5,44,loyal_customers
168,8.0,1.0,269.96000000000004,5,1,2,51,new_customers
169,311.0,2.0,561.7099999999999,1,2,3,12,hibernating
170,6.0,3.0,2134.01,5,3,5,53,potential_loyalists
171,303.0,1.0,238.85,1,1,1,11,hibernating
172,9.0,7.0,3781.74,5,5,5,55,champions
173,262.0,1.0,456.90000000000003,1,1,2,11,hibernating
174,289.0,1.0,145.92000000000002,1,1,1,11,hibernating
175,87.0,1.0,351.65,2,1,2,21,hibernating
176,23.0,10.0,9377.72,4,5,5,45,loyal_customers
177,3.0,32.0,4124.6900000000005,5,5,5,55,champions
178,40.0,2.0,519.61,3,2,3,32,about_to_sleep
179,9.0,2.0,1020.42,5,2,4,52,potential_loyalists
180,228.0,1.0,160.54,1,1,1,11,hibernating
181,316.0,1.0,218.45000000000002,1,1,1,11,hibernating
182,36.0,5.0,1315.83,3,4,4,34,loyal_customers
183,36.0,3.0,626.5999999999999,3,3,3,33,need_attention
184,22.0,2.0,2794.5099999999998,4,2,5,42,potential_loyalists
185,79.0,1.0,440.41999999999996,2,1,2,21,hibernating
186,247.0,1.0,415.70000000000005,1,1,2,11,hibernating
187,40.0,1.0,197.70999999999998,3,1,1,31,about_to_sleep
188,239.0,2.0,499.5999999999999,1,2,3,12,hibernating
189,3.0,15.0,7269.695,5,5,5,55,champions
190,4.0,9.0,2338.1500000000005,5,5,5,55,champions
191,235.0,2.0,2040.0999999999997,1,2,5,12,hibernating
192,18.0,1.0,196.94000000000003,4,1,1,41,promising
193,8.0,1.0,141.06,5,1,1,51,new_customers
194,40.0,1.0,211.95999999999998,3,1,1,31,about_to_sleep
